
  print(def_name, value, data_type, decl_name, is_default, start_range, end_range, LM, UM)

CanNmMainFunctionPeriod -1 FLOAT NUMERICAL 0 0 Inf 1 1
CanNmPnResetTime -1 FLOAT NUMERICAL 0 0.001 65.535 0 1
CanNmBusLoadReductionEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmBusSynchronizationEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmComControlEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmComUserDataSupport -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmCoordinatorSyncSupport -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmDevErrorDetect false BOOLEAN NUMERICAL 1 -1 -1 1 1
CanNmGlobalPnSupport false BOOLEAN NUMERICAL 1 -1 -1 1 1
CanNmImmediateRestartEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmImmediateTxconfEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmPassiveModeEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmPduRxIndicationEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmPnEiraCalcEnabled false BOOLEAN NUMERICAL 1 -1 -1 0 1
CanNmRemoteSleepIndEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmStateChangeIndEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmUserDataEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmVersionInfoApi false BOOLEAN NUMERICAL 1 -1 -1 1 1
CanNmCarWakeUpBitPosition -1 INTEGER NUMERICAL 0 0 7 0 1
CanNmCarWakeUpBytePosition -1 INTEGER NUMERICAL 0 0 7 0 1
CanNmCarWakeUpFilterNodeId -1 INTEGER NUMERICAL 0 0 255 0 1
CanNmImmediateNmTransmissions -1 INTEGER NUMERICAL 0 0 255 1 1
CanNmNodeId -1 INTEGER NUMERICAL 0 0 255 1 1
CanNmImmediateNmCycleTime -1 FLOAT NUMERICAL 0 0.001 65.535 0 1
CanNmMsgCycleOffset -1 FLOAT NUMERICAL 0 0 65.535 1 1
CanNmMsgCycleTime -1 FLOAT NUMERICAL 0 0.001 65.535 1 1
CanNmMsgReducedTime -1 FLOAT NUMERICAL 0 0.001 65.535 1 1
CanNmMsgTimeoutTime -1 FLOAT NUMERICAL 0 0.001 65.535 0 1
CanNmRemoteSleepIndTime -1 FLOAT NUMERICAL 0 0.001 65.535 0 1
CanNmRepeatMessageTime -1 FLOAT NUMERICAL 0 0 65.535 1 1
CanNmTimeoutTime -1 FLOAT NUMERICAL 0 0.002 65.535 1 1
CanNmWaitBusSleepTime -1 FLOAT NUMERICAL 0 0.001 65.535 1 1
CanNmActiveWakeupBitEnabled false BOOLEAN NUMERICAL 1 -1 -1 0 1
CanNmAllNmMessagesKeepAwake false BOOLEAN NUMERICAL 1 -1 -1 0 1
CanNmBusLoadReductionActive -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmCarWakeUpFilterEnabled false BOOLEAN NUMERICAL 1 -1 -1 0 1
CanNmCarWakeUpRxEnabled false BOOLEAN NUMERICAL 1 -1 -1 1 1
CanNmNodeDetectionEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmNodeIdEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmPnEnabled false BOOLEAN NUMERICAL 1 -1 -1 0 1
CanNmPnEraCalcEnabled false BOOLEAN NUMERICAL 1 -1 -1 0 1
CanNmPnHandleMultipleNetworkRequests false BOOLEAN NUMERICAL 1 -1 -1 0 1
CanNmRepeatMsgIndEnabled -1 BOOLEAN NUMERICAL 0 -1 -1 1 1
CanNmPduCbvPosition -1 ENUMERATION TEXTUAL 0 -1 -1 1 1
CanNmPduNidPosition -1 ENUMERATION TEXTUAL 0 -1 -1 1 1
CanNmRxPduId -1 INTEGER NUMERICAL 0 0 65535 1 1
CanNmTxConfirmationPduId -1 INTEGER NUMERICAL 0 0 65535 1 1
CanNmTxUserDataPduId -1 INTEGER NUMERICAL 0 0 65535 1 1
CanNmPnInfoLength 1 INTEGER NUMERICAL 1 1 7 1 1
CanNmPnInfoOffset 1 INTEGER NUMERICAL 1 1 7 1 1
CanNmPnFilterMaskByteIndex -1 INTEGER NUMERICAL 0 0 6 1 1
CanNmPnFilterMaskByteValue 0 INTEGER NUMERICAL 1 0 255 1 1
